"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"741.5941","016775262","Monograph","Language material ; Still image ; Text","Volume","GBB468852","","9781626920613","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Sison, Kriss, 1980-, artist [person]","Alice's adventures in Wonderland and through the looking glass","","","","United States of America","New York","Seven Seas","2014","","1 volume, chiefly illustrations (black and white and colour), 21 cm","","Graphic novels","","English","",""
"741.5942","015651268","Monograph","Language material ; Text","Volume","GBB0D3064","","9781606900857","Moore, Leah","","person","author","Moore, Leah, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Reppion, John, author [person] ; Awano, Érica, illustrator [person]","The complete Alice in Wonderland","Alice's adventures in Wonderland ; Dynamite Entertainment presents: The complete Alice in Wonderland ; Through the looking-glass","","","United States of America","Runnemede, New Jersey","Dynamite Entertainment","2010","","1 volume (unpaged), chiefly colour illustrations, 26 cm","YK.2010.b.11669","Alice, (Fictitious character from Carroll)--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","This volume collects issues 1-4 of the Dynamic Entertainment series, The complete Alice in Wonderland",""
"741.5946","010687587","Monograph","Language material ; Text","Volume","GB7829806","","9780340233580","Art Studuim (Firm)","","organisation","","Art Studuim (Firm) [organisation] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","","","England","London","Hodder & Stoughton","1978","","31 pages, chiefly colour illustrations, 31 cm","LR.425/456","Spanish strip cartoons--Collections--Translations","","English","These illustrations originally published with Spanish text. Barcelona : Editorial RM, 1978",""
"741.597","015441026","Monograph","Language material ; Text","Volume","GBB0A9887","","9780981755052","Gregory, Raven","","person","","Gregory, Raven [person] ; Tedesco, Ralph [person] ; Bonk, Rich [person] ; Tyler, Joe [person]","Grimm fairy tales. Return to Wonderland","Return to Wonderland","","","United States of America","Ft Washington, Pennsylvania","Zenescope Entertainment","2009","","179 pages, chiefly colour illustrations, 26 cm","YK.2010.b.10430","Fairy tales--Adaptations--Comic books, strips, etc ; Graphic novels ; Carroll, Lewis, 1832-1898--Adaptations","Adaptation ; Comic or graphic novel","English","",""
"741.5973","015536757","Monograph","Language material ; Text","Volume","GBB0B8351","","9780785143161","Cebulski, C. B.","","person","","Cebulski, C. B. [person] ; Perrault, Charles, 1628-1703 [person] ; Carroll, Lewis, 1832-1898 [person] ; Lemos, João [person] ; Baum, L. Frank (Lyman Frank), 1856-1919 [person] ; Collodi, Carlo, 1826-1890 [person] ; Barrie, J. M. (James Matthew), 1860-1937 [person]","Marvel fairy tales","Alice's adventures in Wonderland ; Avventure di Pinocchio ; Fairy tales ; Peter Pan ; Petit Chaperon rouge ; Wizard of Oz","","","United States of America","New York","Marvel Publishing","2010","","1 volume (unpaged), chiefly colour illustrations, 23 cm","YK.2010.a.27264","Graphic novels ; Watson, Mary Jane (Fictitious character)--Comic books, strips, etc ; Comic books, strips, etc--United States ; Fairy tales--Comic books, strips, etc ; X-Men (Fictitious characters)--Comic books, strips, etc ; Avengers (Fictitious characters)--Comic books, strips, etc","Comic or graphic novel","English","'Contains material originally published in magazine form as Avengers Fairy tales #1, Spider-man fairy tales #1, and X-Men fairy tales #2.'",""
"741.5973","015657364","Monograph","Language material ; Text","Volume","GBB0E7455","","9780982363089 ; 9780982582602","Gregory, Raven","","person","","Carroll, Lewis, 1832-1898 [person] ; Gregory, Raven [person] ; Tedesco, Ralph [person] ; Leister, Daniel, 1976- [person] ; Brusha, Joe [person]","Escape from Wonderland","Alice's adventures in Wonderland","","","United States of America","Fort Washing, Penn","Zenescope Entertainment","2010","","199 pages, chiefly illustrations (chiefly colour), 27 cm","YK.2010.b.13108","Fairy tales--Adaptations--Comic books, strips, etc ; Carroll, Lewis, 1832-1898--Adaptations","Adaptation ; Comic or graphic novel ; Fantasy ; Novel","English","'Grimm fairy tales presents'--Dust Jacket ; 'This volume collects the complete comic book series Escape from Wonderland.' ; At head of title: Zenescope Entertainment presents",""
"741.5973","015816802","Monograph","Language material ; Text","Volume","GBB165125","","9780983040453","Tedesco, Ralph","","person","","Gregory, Raven [person] ; Tedesco, Ralph [person] ; Wickline, Dan [person] ; Brusha, Joe [person]","Wonderland. House of Liddle","Grimm fairy tales presents ; House of Liddle","","","United States of America","Horsham, Pennsylvania","Zenescope Entertainment","2011","","177 pages, chiefly colour illustrations, 26 cm","YK.2011.b.15556","Fairy tales--Adaptations--Comic books, strips, etc ; Carroll, Lewis, 1832-1898--Adaptations","Adaptation ; Comic or graphic novel ; Fantasy ; Horror","English","'Created and story by Raven Gregory, Joe Brusha, Ralph Tedesco'--T.p. verso ; 'This volume reprints Grimm Fairy Tales presents Wonderland Annual 2009, 2010 and 2011 published by Zenescope Entertainment'--T.p. verso",""
"741.5973","016191864","Monograph","Language material ; Still image ; Text","Volume","GBB2A5526","","9781616550462","Espinosa, Rod","","person","artist ; author","Carroll, Lewis, 1832-1898 [person] ; Espinosa, Rod, artist ; author [person]","Lewis Carroll's Alice in Wonderland","Alice in Wonderland ; Alice's adventures in Wonderland","","","United States of America","Milwaukie, Oregon","Dark Horse","2013","First edition","124 pages, chiefly colour illustrations, 27 cm","YK.2013.b.9388","Graphic novels ; Fantasy ; Carroll, Lewis, 1832-1898--Adaptations","Adaptation ; Novel","English","",""
"741.5973","016598001","Monograph","Language material ; Still image ; Text","Volume","GBB403225","","9781613779132","Yoe, Craig","","person","author","Yoe, Craig, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Comicland","","","","United States of America","San Diego, California","","2014","","170 pages, all illustrations (black and white and colour), 29 cm","YKL.2015.b.267","Alice, (Fictitious character from Carroll)--Comic books, strips, etc","Comic or graphic novel","English","",""
"741.5973","016684764","Monograph","Language material ; Still image ; Text","Volume","GBB439780","","9781939683632","Gregory, Raven","","person","author","Glade, Nicole, editor [person] ; Brusha, Joe, author [person] ; Gregory, Raven [person] ; Gregory, Raven, author [person] ; Shand, Pat, editor [person] ; Tedesco, Ralph, author ; editor [person]","Wonderland omnibus","Beyond Wonderland ; Escape from Wonderland ; Grimm fairy tales presents Wonderland omnibus ; Return to Wonderland ; Tales from Wonderland","","","United States of America","Horsham, Pennsylvania","Zenescope","2014","First edition, July 2014","871 pages, chiefly colour illustrations, 26 cm","YKL.2015.b.2144","Fairy tales--Adaptations--Comic books, strips, etc ; Carroll, Lewis, 1832-1898--Adaptations ; Fantasy comic books, strips, etc","Adaptation ; Comic or graphic novel","English","'This omnibus reprints the comic series Grimm fairy tales presents: Return to Wonderland, Beyond Wonderland, Escape from Wonderland, and Tales from Wonderland volume 1-3 published by Zenescope Entertainment'--Page 3",""
"741.5973","016689594","Monograph","Language material ; Still image ; Text","Volume","GBB442223","","9781939683625","Shand, Pat","","person","author","Spay, Anthony, artist [person] ; Glade, Nicole, editor [person] ; Gregory, Raven [person] ; Tedesco, Ralph [person] ; Shand, Pat, author [person] ; Brusha, Joe [person]","Wonderland : asylum","Grimm fairy tales presents Wonderland : asylum","","","United States of America","Horsham, Pennsylvania","Zenescope","2014","First edition, June 2014","142 pages, chiefly colour illustrations, 26 cm","YKL.2015.b.1536","Fairy tales--Adaptations--Comic books, strips, etc ; Carroll, Lewis, 1832-1898--Adaptations","Adaptation ; Comic or graphic novel ; Fantasy","English","'This volume reprints the comic series Grimm fairy tales presents Wonderland: asylum #1-5 published by Zenescope Entertainment'--Title page verso ; 'Wonderland asylum takes place after Wonderland #19.' ; 'Wonderland created by Joe Brusha, Ralph Tedesco, and Raven Gregory.'",""
"741.5973","017001032","Monograph","Language material ; Still image ; Text","Volume","GBB501004","","9780989222167 ; 9780989222174","Beddor, Frank","","person","author","Beddor, Frank [person] ; Makkonen, Sami, 1975-, artist [person] ; Cavalier, Liz, author [person] ; Beddor, Frank, author [person]","Hatter M. Volume five. Love of wonder","Looking glass wars ; Love of wonder","","","United States of America","Los Angeles","Automatic Publishing","2014","","approximately 160 pages, chiefly colour illustrations, 27 cm","YKL.2017.b.57","Adventure and adventurers--Comic books, strips, etc ; Voyages, Imaginary--Comic books, strips, etc ; Princesses--Comic books, strips, etc ; Bodyguards--Comic books, strips, etc ; Dystopias--Comic books, strips, etc ; Carroll, Lewis, 1832-1898--Characters--Comic books, strips, etc","Comic or graphic novel ; Fantasy ; Novel ; Young adult fiction","English","Based on the book The looking glass wars / by Frank Beddor",""
"741.64","008005180","Monograph","Language material ; Text","Volume","","","","Meloni, Irene","","person","author","Meloni, Irene, author [person]","La logica del nonsenso : Alice's adventures in Wonderland","","","","Italy","Cagliari","Università degli studi di Cagliari, Dipartimento di filologie e letterature moderne","1990","","117 pages, 21 cm","YA.1991.a.26575","Fiction in English--Carroll, Lewis--Illustrations--history ; Fantasy fiction, English--History and criticism ; Nonsense literature, English--History and criticism ; Carroll, Lewis, 1832-1898 ; Logic in literature","","Italian","",""
"741.64","009400077","Monograph","Language material ; Text","Volume","GB8010169","","9780312408466","","","","","Ovenden, Graham [person]","The illustrators of 'Alice in Wonderland' and 'Through the looking glass'","","","","England","London","Academy","1979","Revised edition","88 pages, chiefly illustrations (some colour), portraits, 20 cm","80/21030 ; X.419/8493","Carroll, Lewis, 1832-1898--Illustrations ; Fiction in English--Carroll, Lewis--Illustrations--history","","English","Previous edition: 1972 ; bibliography: p. 83-87. - Includes index",""
"741.64","011609163","Monograph","Language material ; Text","Volume","GB7230725","","9780902620254","","","","","Ovenden, Graham [person]","The illustrators of 'Alice in Wonderland' and 'Through the looking glass'","","","","England","London","Academy","1972","","103 pages, chiefly illustrations (some colour), 1 portrait, 30 cm","f72/11925","Carroll, Lewis, 1832-1898--Illustrations ; Illustrated books--Alice in Wonderland and Through the looking glass by Carroll, Lewis, 1865-1968--Illustrations--Reproductions ; Illustration of books--Great Britain--19th century ; Children's stories, English--Illustrations ; Fantasy fiction, English--Illustrations ; Alice, (Fictitious character from Carroll)","","English","",""
"741.64092","013279419","Monograph","Language material ; Text","Volume","GBA571660","","9780974396385","Garvey, Eleanor M.","","person","author","Garvey, Eleanor M., author [person] ; Bond, W. H. (William Henry), 1915-2005, author [person]","Tenniel's Alice : drawings by Sir John Tenniel for 'Alice's adventures in Wonderland' and 'Through the looking glass'","","","","England ; United States of America","Cambridge, Massachusetts ; London","Harvard College Library","2005","","75 pages, illustrations, 21 cm","YK.2007.a.1891","Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations ; Illustration of books--Great Britain--History--19th century","Illustration","English","",""
"741.642","016313453","Monograph","Language material ; Still image ; Text","Volume","GBB460809","","9780955834370 ; 9780955834387","","","","","Ludlow Bookbinders [organisation] ; Hall, Charles, compositor [person] ; Artists' Choice Editions, publisher [organisation] ; Adamczyk-Garbowska, Monika [person] ; Vaizey, Marina [person]","Illustrating Alice : an international selection of illustrated editions of Alice's adventures in Wonderland and Through the looking glass","","","","England","London ; Sheffield","Artists Choice ; Northend creative Print Solutions","2013","","201 pages, illustrations (black and white and colour), 32 cm","YK.2014.b.6409","Alice, (Fictitious character from Carroll)--In art ; Carroll, Lewis, 1832-1898--Illustrations ; Carroll, Lewis, 1832-1898--Bibliography","Bibliography ; Illustration","English","'This book is typeset in Breughel by Charles Hall, printed on Stow Ivory paper by Northend Creative Print Solutions, with the Specials bound by Ludlow Bookbinders. There will be 500 standard copies, and 68 specials with a folder containing signed prints'--colophon ; Foreword by Marina Vaizey; contributions by Monika Adamczyk-Garbowska and 13 others ; Limited edition of 500 copies",""
"741.642092","019608581","Monograph","Language material ; Still image ; Text","Volume","","","9780814214114","Hancher, Michael","1941-","person","author","Hancher, Michael, 1941-, author [person]","The Tenniel illustrations to the 'Alice' books","","","","United States of America","Columbus","Ohio State University Press","2019","Second edition","xxviii, 260 pages, 8 unnumbered pages of plates, illustrations (some colour), 29 cm","YD.2019.b.1228","Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations ; Alice, (Fictitious character from Carroll)","Illustration ; Picture","English","",""
"741.6420924","012667770","Monograph","Language material ; Text","Volume","","","9780814203743 ; 9780814204085","Hancher, Michael","1941-","person","author","Hancher, Michael, 1941-, author [person]","The Tenniel illustrations to the 'Alice' books","","","","United States of America","Columbus","Ohio State University Press","1985","","xx, 152 pages, illustrations, 26 x 29 cm","86/28249 ; LB.31.b.708","Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations ; Fantasy fiction, English--Illustrations ; Alice, (Fictitious character from Carroll)","","English","",""
"741.6420947","018088343","Monograph","Language material ; Still image ; Text","Volume","GBB9A4751","","9780995557000","","","","","","Russian Alices : illustrated editions of Alice in Wonderland from the USSR and Post Soviet Era","","","","England","Church Hanborough, Oxford","Artists Choice","2016","","171 pages, illustrations (black and white and colour), 32 cm","YC.2019.b.1226","Alice, (Fictitious character from Carroll)--In art ; Carroll, Lewis, 1832-1898--Illustrations ; Illustration of books--Soviet Union--History ; Illustration of books--Ukraine--History ; Illustration of books--Russia (Federation)--History ; Carroll, Lewis, 1832-1898--Translations into Russian--Bibliography","Bibliography ; Illustration","English","Title page and chapter headings appear in English and Russian",""
"741.942","013886563","Monograph","Language material ; Text","Volume","","","","Tenniel, John","1820-1914","person","illustrator","Tenniel, John, 1820-1914, illustrator [person] ; Houghton Library [organisation] ; Carroll, Lewis, 1832-1898 [person]","Tenniel's Alice","Alice's adventures in Wonderland ; Through the looking-glass","","","United States of America","Cambridge","Dept. of Printing & Graphic Arts, Harvard College Library","1978","","75 pages, illustrations, 22 cm","85/24341","Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations ; Houghton Library ; Fantasy fiction, English--Illustrations ; Amory, Harcourt, 1855-1925--Art collections ; Alice, (Fictitious character from Carroll)","","English","Drawings from the Harcourt Amory Collection in the Houghton Library, Harvard University",""
"745.5924","008053896","Monograph","Language material ; Text","Volume","GB8008875","","9780263064001 ; 9780263064100","Hutchings, Margaret","","person","","Hutchings, Margaret [person] ; Cook, Doris [person]","Toys from 'Alice in Wonderland'","","","","England","London","Mills & Boon","1979","","127 pages, 8 pages of plates, illustrations (some colour), 26 cm","X.620/19208 ; X.622/9401","Soft toy making ; Carroll, Lewis, 1832-1898--Miscellanea ; Soft toys based on characters from Carroll, Lewis--1832-1898--Making","","English","",""
"745.61","017573675","Monograph","Language material ; Text","Volume","","","9781503319943","Wolkowski, Z. W. (Zbigniew William)","","person","author","Wolkowski, Z. W. (Zbigniew William), author [person]","Alice in many tongues : selection from a chirographic opus in sixty languages","","","","France","Paris","Z.W. Wolkowski","2014","","1 volume (unpaged), 22 cm","YD.2016.a.1545","Calligraphy ; Carroll, Lewis, 1832-1898--Quotations","Quotation or maxim","English","",""
"745.7","017581361","Monograph","Language material ; Still image ; Text","Volume","GBB736265","","9780141366159","Good Wives and Warriors (Partnership)","","organisation","artist","Carroll, Lewis, 1832-1898 [person] ; Good Wives and Warriors (Partnership), artist [organisation]","Escape to Wonderland : a colouring-book adventure","Alice's adventures in Wonderland","","","United Kingdom","","Puffin","2015","","1 volume (unpaged), chiefly black and white illustrations, 19 cm","YKL.2017.a.4687","Coloring books--Juvenile literature ; Carroll, Lewis, 1832-1898--Pictorial works","Children's literature ; Pictorial work","English","'Text from Alice's Adventures in Wonderland by Lewis Carroll, first published 1865.'--Title page verso",""
"746.434043","018022620","Monograph","Language material ; Still image ; Text","Volume","GBB6D2601","","9780486807348","Olski, Pat","","person","author","Olski, Pat, author [person]","Lewis Carroll's Alice in wonderland","Alice in wonderland","Crochet stories","","United States of America","Mineola, New York","Dover","2016","","1 volume, illustrations, 28 cm","","Carroll, Lewis, 1832-1898 ; Crocheting--Patterns","","English","",""
"769.92","009479727","Monograph","Language material ; Text","Volume","GB9665487","","9780952373322","Tenniel, John","1820-1914","person","","Arman, Mark [person] ; Tenniel, John, 1820-1914 [person]","The story of the electrotypes used to illustrate Sir John Tenniel's drawings for Alice's adventures in Wonderland & Through the looking glass illustrated with twelve Tenniel drawings printed letterpress from electrotypes, created from the original wood engravings, cut by the Dalziel brothers c.1860-1870","Alice in Wonderland plates of the engraved blocks of Sir John Tenniel's drawings","","","England","Thaxted","Workshop Press","1996","","20 pages, illustrations, 27 cm","YK.1996.b.13133","Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations ; Great Britain ; Prints","","English","Limited edition of 50 numbered copies",""
"769.92","010055728","Monograph","Language material ; Text","Volume","GB9124976","","9780333422076","Tenniel, John","1820-1914","person","illustrator","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; De Freitas, Leo John [person]","Sir John Tenniel's illustrations to Lewis Carroll's Alice's adventures in Wonderland & Through the looking-glass : ninety-one prints from the original wood blocks engraved by the Brothers Dalziel from drawings by Sir John Tenniel & one print from an electrotype","Alice's adventures in Wonderland ; Through the looking-glass","","","England","London","Macmillan","1988","","2 cases, chiefly illustrations, 28 cm + 1 book (59 pages, 27 cm)","C.191.b.3","Tenniel, John, 1820-1914 ; Carroll, Lewis, 1832-1898--Illustrations ; Dalziel, George, 1815-1902--Criticism and interpretation ; Prints ; Fantasy fiction, English--Illustrations ; Dalziel, Edward, 1817-1905--Criticism and interpretation ; Alice, (Fictitious character from Carroll)","","English","Accompanied by text: A study of Sir John Tenniel's wood-engraved illustrations to Alice's adventures in Wonderland & Through the looking-glass / Leo John de Freitas ; In slip case ; Limited edition of 250 copies ; The boxes contain 92 prints laid loose in folders with printed captions",""
"770.92","014698296","Monograph","Language material ; Text","Volume","GBA8A1903","","9780714842820","Higonnet, Anne","1959-","person","","Higonnet, Anne, 1959- [person]","Lewis Carroll","","","","England","London","Phaidon","2008","","1 volume, illustrations, 27 cm","","Carroll, Lewis, 1832-1898 ; Portrait photography--Great Britain--History--19th century","","English","",""
"770.924","011324860","Monograph","Language material ; Text","Volume","GB8421277","","9780356105086","Ovenden, Graham","","person","","Ovenden, Graham [person] ; Carroll, Lewis, 1832-1898 [person]","Lewis Carroll","","Masters of photography","","England","London","Macdonald","1984","","12 pages, 25 leaves, illustrations, portraits, 31 cm","84/33196 ; L.42/3164","Carroll, Lewis, 1832-1898 ; Photography, Artistic ; English photography--Carroll, Lewis--1832-1898--Biographies ; Photographers--Great Britain--Biography","","English","",""
"770.924","013851780","Monograph","Language material ; Text","Volume","","","9780517537442","Cohen, Morton N. (Morton Norton)","1921-2017","person","","Cohen, Morton N. (Morton Norton), 1921-2017 [person]","Lewis Carroll, photographer of children : four nude studies","","","","United States of America","New York","C. N. Potter ; Crown","1979","","31 pages, 4 leaves of plates, illustrations, 26 cm","79/26124","Children--Portraits ; Photography of the nude ; Carroll, Lewis, 1832-1898","","English","",""
"779.092","009393433","Monograph","Language material ; Text","Volume","GBA268340","","9780300091694","Nickel, Douglas R. (Douglas Robert)","1961-","person","","San Francisco Museum of Modern Art [organisation] ; Nickel, Douglas R. (Douglas Robert), 1961- [person]","Dreaming in pictures : the photography of Lewis Carroll","","","","England","London ; New Haven, Connecticut","Yale University Press","2002","","172 pages, illustrations, 28 cm","LB.31.b.27840 ; m06/.13356","Photography, Artistic--Exhibitions ; Carroll, Lewis, 1832-1898--Exhibitions ; Photography of children--Exhibitions","Exhibition","English","Published on the occasion of the exhibition ... at the San Francisco Museum of Modern Art, August 3 to November, 2002 [et al.] - T.p. verso",""
"779.092","011082877","Monograph","Language material ; Text","Volume","","","9780691074436","Taylor, Roger","1940-","person","","Wakeling, Edward [person] ; Taylor, Roger, 1940- [person]","Lewis Carroll, photographer : the Princeton University library albums","","","","England ; United States of America","Chichester ; Princeton, New Jersey","Princeton University Press","2002","","304 pages, illustrations, 25 cm","m02/20470","Children in art ; Carroll, Lewis, 1832-1898 ; Photography, Artistic","","English","",""
"779.092","011977581","Monograph","Language material ; Text","Volume","GBA248491","","9780691074436","Taylor, Roger","1940-","person","","Wakeling, Edward [person] ; Taylor, Roger, 1940- [person]","Lewis Carroll, photographer : the Princeton University Library albums","","","","England","Oxford ; Princeton, New Jersey","Princeton University Press","2002","","xv, 287 pages, illustrations, 28 cm","LB.31.b.26109","Photograph collections--New Jersey--Princeton ; Children in art ; Carroll, Lewis, 1832-1898--Contributions in photography ; Parrish, Morris Longstreth, 1867-1944--Photograph collections ; Princeton University--Library--Photograph collections ; Photography, Artistic","","English","",""
"779.092","014503860","Monograph","Language material ; Text","Volume","GBA8D7867","","9780904117356","Carroll, Lewis","1832-1898","person","","Wakeling, Edward [person] ; Lewis Carroll Society [organisation] ; Carroll, Lewis, 1832-1898 [person] ; Ford, Colin, 1934- [person]","The photography of Lewis Carroll : exhibition catalogue","Carroll through the viewfinder","","","England","London","Lewis Carroll Society","2007","","30 pages, illustrations, 21 cm","YC.2008.a.11945","Carroll, Lewis, 1832-1898--Contributions in photography","","English","",""
"779.092","014937292","Monograph","Language material ; Text","Volume","GBA930261","","9780500410981","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person]","Lewis Carroll","","Photofile","","England","London","Thames & Hudson","2009","","1 volume, illustrations, 19 cm","YC.2010.a.17662","Carroll, Lewis, 1832-1898 ; Photography, Artistic ; Portrait photography","","English","",""
"779.092","017418595","Monograph","Language material ; Still image ; Text","Volume","GBB582791","","9780292767430","Carroll, Lewis","1832-1898","person","photographer","Carroll, Lewis, 1832-1898, photographer [person] ; Wakeling, Edward, compiler [person]","The photographs of Lewis Carroll : a catalogue raisonné","Works. Selections","","","United States of America","Austin","University of Texas Press","2015","","1 volume, illustrations, 31 cm","","Photography--19th century--Catalogs ; Portrait photography--19th century--Catalogs ; Photography, Artistic--Catalogs ; Carroll, Lewis, 1832-1898--Photograph collections--Catalogues raisonnés","Catalogue","English","",""
"779.092","017471605","Monograph","Language material ; Text","Volume","GBB5A5207","","9781780235196","Smith, Lindsay, Professor of English","","person","author","Smith, Lindsay, Professor of English, author [person]","Lewis Carroll : photography on the move","","","","England","London","Reaktion","2015","","288 pages, illustrations, 24 cm","YC.2017.a.8608","Carroll, Lewis, 1832-1898 ; Photography, Artistic","","English","'With 90 illustrations, 55 in colour'--Inner Jacket",""
"779.20922","018674434","Monograph","Language material ; Still image ; Text","Volume","GBB810689","","9781855147065","Prodger, Phillip","","person","author","Hawarden, Clementina, Viscountess, 1822-1865 [person] ; Cameron, Julia Margaret, 1815-1879 [person] ; Carroll, Lewis, 1832-1898 [person] ; Millennium Gallery (Sheffield, England) [organisation] ; Rejlander, O. G. (Oscar Gustav), 1813-1875 [person] ; Prodger, Phillip, author [person] ; National Portrait Gallery (Great Britain) [organisation]","Victorian giants : the birth of art photography : Julia Margaret Cameron, Lewis Carroll, Clementina Hawarden, Oscar Rejlander","Works","","","England","London","National Portrait Gallery","2018","","239 pages, illustrations (black and white and colour), 27 cm","LC.31.a.22274","Rejlander, O. G. (Oscar Gustav), 1813-1875 ; Cameron, Julia Margaret, 1815-1879 ; Hawarden, Clementina, Viscountess, 1822-1865 ; Carroll, Lewis, 1832-1898 ; Portraits, Victorian ; Photography, Artistic","","English","Published to accompany the exhibition of the same name held at the National portraits Gallery, London, 1st March-20th May 2018 ; Millennium Gallery, Sheffield, 30th June-23rd September 2018",""
"779.20924","012253552","Monograph","Language material ; Text","Volume","GB7615046","","9780904017083","Carroll, Lewis","1832-1898","person","","National Portrait Gallery (Great Britain) [organisation] ; Carroll, Lewis, 1832-1898 [person] ; Ford, Colin [person]","Lewis Carroll at Christ Church","","","","England","London ; St Martin's Place, W C 2","National Portrait Gallery","1974","","32 pages, chiefly portraits, 24 cm","76/32707","English portrait photography, 1850-1900--Collections from individual artists ; Photography--Portraits ; Photography, Artistic","","English","",""
"779.240924","008745817","Monograph","Language material ; Text","Volume","GB8319641","","9780500271711","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person]","Lewis Carroll : Victorian photographer","","","","England","London","Thames & Hudson","1980","","92 leaves, illustrations, chiefly portraits, 25 cm","X.421/23853","English portrait photography--1850-1900--Special subjects--Girls--Collections ; Photography--Portraits ; Girls--Portraits","","English","",""
"780","004256871","Monograph","Notated music","Volume","","","","","","","","Carroll, Lewis, 1832-1898 [person]","Miss Jones. (Reduced facsimile of a medley by Lewis Carroll, written out by his sister Margaret.) [Voice part only.] In: Carroll (Lewis) pseudonym The Collected Verse of Lewis Carroll","Through the looking-glass","","","","","","1932","","47 p-50, 8°","11609.ppp.2","","","English","",""
"780","004497086","Monograph","Notated music","Volume","","","","Lynes, Frank","1858-1913","person","","Lynes, Frank, 1858-1913 [person] ; Carroll, Lewis, 1832-1898 [person]","Scenes from Alice in Wonderland, for the Pianoforte. Op. 50. 1. Chasing the White Rabbit. 2. The Swim in a Pool of Tears. 3. The Story by the Mouse. 4. The Grand Procession. 5. The Dance by the Sea. 6. Through the Looking Glass. 7. On the Train. 8.Tweedledum and Tweedledee. 9. Humpty Dumpty. 10. Queen Alice","Alice's adventures in Wonderland ; Through the looking-glass","","","United States of America","Boston","A. P. Schmidt","1908","","10 no (folio)","h.3283.p. (46.)","","","","",""
"780","005158261","Monograph","Notated music","Volume","","","","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Carroll, Sonny [person]","When you're in love","","","","","","","1944","","1 score","VOC/1944/CARROLL","","","English","",""
"780","014981173","Monograph","Notated music","Volume","","","","Del Tredici, David","","person","","Carroll, Lewis, 1832-1898 [person] ; Del Tredici, David [person]","Acrostic song from 'Final Alice' high voice & piano","Final Alice. Acrostic song, arr","","","United States of America","New York","Boosey & Hawkes","1984","","vocal score 10 pages","H02/5020","","","English","Arr. by the Composer",""
"782.1","019418085","Monograph","Notated music","Volume","","","","Barry, Gerald","1952-","person","composer","Carroll, Lewis, 1832-1898 [person] ; Barry, Gerald, 1952-, composer [person]","Alice's adventures under ground : opera (2014-2015)","Alice's adventures in Wonderland ; Alice's adventures under ground. Vocal score ; Through the looking-glass","","","England","London","Schott","2018","Vocal score","1 vocal score (249 pages), 31 cm","G.1507.gg ; H06/.18954","Operas--Vocal scores with piano ; Alice, (Fictitious character from Carroll)--Drama","Drama ; Vocal score","English ; French ; German ; Russian","Based on Lewis Carroll's two beloved books, Alice's adventures in wonderland and Through the looking glass (information from the publisher's website) ; Commissioned by Los Angeles Philharmonic Association, The Barbican Centre, London, and Britten Sinfonia ; Duration: approximately 60 min ; Includes performance notes in English ; Originally for soprano, mezzo-soprano, alto, 2 tenors, baritone, and bass with orchestra; the accompaniment arranged for piano ; Score corrected in January 2017",""
"782.1","019962716","Monograph","Notated music","Volume","","","","Barry, Gerald","1952-","person","composer","Carroll, Lewis, 1832-1898 [person] ; Barry, Gerald, 1952-, composer [person]","Alice's adventures under ground : opera (2013-2015)","","Musik unserer Zeit = Music of our time = Musique de notre temps = Gendai","no ongaku [Musik unserer Zeit = Music of our time = Musique de notre temps = Gendai]","England","London","Schott","2019","Study score","1 score (204 pages), 30 cm","G.1507.vv","Carroll, Lewis, 1832-1898--Drama ; Operas--Scores","Drama","English","Duration: approximately 50 min ; The name Lewis Carroll is misspelt on the title page as 'Lewis Carrol'",""
