"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Alice's adventures in Wonderland : Through the looking glass : and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","010678789","Monograph","Language material ; Text","Volume","GB98X2601","","9780333722725","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan","1998","Centenary edition","240 pages, colour illustrations, 25 cm","823.8","Nov.1998/1110","Alice, (Fictitious character from Carroll)--Fiction ; Children's stories, English ; Fantasy fiction, English","","English","",""
"Alice's adventures in Wonderland : Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking glass","020289410","Monograph","Language material ; Still image ; Text","Volume","GBC1D1076","","9780785839927","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Chartwell classics","","United States of America","Edison","Chartwell","2021","","1 volume, illustrations, 20 cm","823.8","","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"Alice's adventures in Wonderland : Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","010051421","Monograph","Language material ; Text","Volume","GB8220985","","9780333290392","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan","1980","New children's edition","1 case, illustrations (some colour), 22 cm","823.8","X.990/18575","Children's stories in English--1837-1900--Texts","","English","Previous edition: 1927",""
"Alice's adventures in Wonderland : Through the looking glass","Novels. Selections ; Through the looking-glass","018475983","Monograph","Language material ; Text","Volume","GBB7E8535","","9780425289280","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","","","United States of America","New York","Puffin","2017","","1 volume, 18 cm","823.8","","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"Alice's adventures in Wonderland : Through the looking glass","Through the looking glass","015427209","Monograph","Language material ; Text","Volume","GBA9B3719","","9781408805930","Carroll, Lewis","1832-1898","person","","Peake, Mervyn, 1911-1968 [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Bloomsbury","2010","","xix, 384 pages, illustrations, 20 cm","823.8","","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction ; Fantasy fiction, English","Children's fiction","English","",""
"Alice's adventures in Wonderland : Through the looking glass","Through the looking-glass ; Works. Selections","016885662","Monograph","Language material ; Still image ; Text","Volume","GBB4A6579","","9781471141614","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Simon & Schuster","2015","","vi, 282 pages, black and white illustrations, 20 cm","823.8","H.2016/.7220","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"Alice's adventures in Wonderland : Through the looking glass, and other writings","Alice's adventures in Wonderland ; Hunting of the snark ; Through the looking-glass ; Works. Selections","008327715","Monograph","Language material ; Text","Volume","GB5405854","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Colles, Dorothy, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Collins","1954","","320 pages, illustrations, 19 cm","823.8","12653.aa.32","","","English","",""
"Alice's adventures in Wonderland : Through the looking-glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","016122607","Monograph","Language material ; Text","Volume","GBB267664","","9781435142886","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Barnes & Noble leatherbound classics","","United States of America","New York","Barnes & Noble","2012","","233 pages, 22 cm","823.8","YK.2013.a.17479","Alice, (Fictitious character from Carroll)--Fiction","Fantasy ; Fiction","English","",""
"Alice's adventures in Wonderland : Through the looking-glass, and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","010090448","Monograph","Language material ; Text","Volume","GBA150799","","9780747553687 ; 9780747553731 ; 9780747556886","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Peake, Mervyn, 1911-1968, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Bloomsbury","2001","","2 volumes, illustrations, 20 cm","823.8","Nov.2001/1493","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","In slipcase",""
"Alice's adventures in Wonderland : [and], Through the looking-glass, and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","012629716","Monograph","Language material ; Text","Volume","GB7831643","","9780706407884","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Octopus","1978","","416 pages, illustrations, 22 cm","823.8","X.989/52708","Fiction in English ; Fiction in English--1837-1900--Texts","","English","illustrations on lining papers",""
"Alice's adventures in Wonderland : a colouring book","","017584490","Monograph","Language material ; Still image ; Text","Volume","GBB736322","","9781509813605","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","","","England","London","Macmillan","2015","","1 volume (unpaged), chiefly black and white illustrations, 29 cm","823.8","YKL.2017.b.1351","Coloring books--Juvenile literature ; Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Children's fiction ; Children's literature ; Pictorial work","English","'The Macmillan Alice 150 years'--Cover",""
"Alice's adventures in Wonderland : a pop-up adaptation of Lewis Carroll's original tale","Alice's adventures in Wonderland","006931436","Monograph","Language material ; Text","Volume","GBA3V4365","","9780689837593","Sabuda, Robert","","person","","Carroll, Lewis, 1832-1898 [person] ; Sabuda, Robert [person]","","","England","London","Simon & Schuster","2003","","12 pages, colour illustrations, 26 cm","823.8","YK.2005.b.5500","","Children's fiction ; Toy or moveable book","English","Pop-up book ; Text on 7 small books attached to pages ; Title from cover",""
"Alice's adventures in Wonderland : adapted for very little folks from the original story by Lewis Carroll","Alice's adventures in Wonderland","000617506","Monograph","Language material ; Text","Volume","","","","","","","","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","The little folks' edition","","England","London","Macmillan","1903","","128 pages, illustrations (16°)","","012808.e.46","","","English","'Note. ... Although the story reads continuously, it is, in reality, but one-sixth of the length of the complete edition, and contains only a selection of the illustrations'--Page [5]",""
"Alice's adventures in Wonderland : adapted for very little folks from the original story by Lewis Carroll","Alice's adventures in Wonderland","016974847","Monograph","Language material ; Still image ; Text","Volume","GBB4E5521","","9781447277781","","","","","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan","2015","Little folks' edition","127 pages, colour illustrations, 13 cm","823.8","Nov.2016/1964","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","'Celebrating 150 years of Lewis Carroll's classic'--Cover Band ; 'The 1907 edition, on which the present book is based, features Tenniel's Alice in a red dress for the first and only time'--Page 5 ; Originally published: London : Macmillan & Co. Ltd, 1907",""
"Alice's adventures in Wonderland : an edition printed in the Shaw alphabet","","016499757","Monograph","Language material ; Still image ; Text","Volume","GBB385250","","9781782010364","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Thurman, Thomas, 1975-, editor [person]","","","Ireland","Westport","Evertype","2013","First edition","x, 109 pages, illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"Alice's adventures in Wonderland : an edition printed in Ñspel orthography = Alis'z advnčrz in Wunḍland","Alis'z advnčrz in Wunḍland","017515868","Monograph","Language material ; Still image ; Text","Volume","GBB5B7707","","9781782010517","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Johnson, Francis K. [person]","","","Ireland","Portlaoise County Laois","Evertype","2015","","1 volume, illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)","Children's fiction ; Fantasy","English","",""
"Alice's adventures in Wonderland : and Through the looking-glass and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass ; Through the looking-glass and what Alice found there","015296484","Monograph","Language material ; Text","Volume","GBA961558","","9780199558292","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Hunt, Peter, 1945- [person] ; Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914, illustrator [person]","Oxford world's classics","","England","Oxford","Oxford University Press","2009","New edition","liii, 297 pages, illustrations, 20 cm","823.8","YC.2010.a.11969","Alice, (Fictitious character from Carroll)--Fiction","Fantasy ; Fiction","English","",""
"Alice's adventures in Wonderland : and Through the looking-glass","Novels. Selections ; Through the looking-glass","013630244","Monograph","Language material ; Text","Volume","GBA6A6903","","9781845882341","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Nonsuch classics","","England","Stroud","Nonsuch","2006","","250 pages, illustrations, 17 cm","823.8","H.2009/1039","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"Alice's adventures in Wonderland : and what Alice found there. WITH Through the looking glass","","014599028","Monograph","Language material ; Text","Volume","","","9780199536344","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person] ; Green, Roger Lancelyn [person]","Oxford World's Classics S","","United Kingdom","Oxford","Oxford University Press","2008","","278 pages, frontispiece, line drawings, by john tenniel, 20 x 13 x 3 cm","","","","","English","Reissue",""
"Alice's adventures in Wonderland : and, Alice through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","011394630","Monograph","Language material ; Text","Volume","GB9204668","","9781850517009","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Berková, Dagmar, 1922-2002, illustrator [person]","","","England","","Treasure","1992","","255 pages","823.8","YK.1992.b.1412","English fiction--Children's stories","","English","",""
"Alice's adventures in Wonderland : and, Through the Looking Glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","000617324","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Regent classics","","England","London","Thames","1955","","246 pages (8°)","","W.P.13255/36","","","English","",""
"Alice's adventures in Wonderland : and, Through the Looking-Glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","000617318","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Children's Classics","","England","Ewell ; London","Studley Press","1948","","244 pages (8°)","","X.998/3666. (7.)","","","English","",""
"Alice's adventures in Wonderland : and, Through the Looking-Glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","000617326","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Dean","1957","","184 pages (8°)","","12839.r.21","","","English","",""
"Alice's adventures in Wonderland : and, Through the Looking-glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","010648271","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Peake, Mervyn, 1911-1968, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Zephyr books","volume 67 [Zephyr books]","England ; Sweden","London ; Stockholm","Continental Book","1946","","347 pages, illustrations","","Cup.410.f.290","","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass : and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","010090694","Monograph","Language material ; Text","Volume","GBA337407","","9780747564966","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Peake, Mervyn, 1911-1968, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Bloomsbury","2003","","xix, 384 pages, illustrations, 20 cm","823.8","H.2003/3053","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass : and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","011640644","Monograph","Language material ; Text","Volume","GB9534403","","9780192816207","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Green, Roger Lancelyn, editor [person]","The world's classics","","England","Oxford","Oxford University Press","1995","","xxxiii, 278 pages, 19 cm","823.8","","English fiction--Children's stories ; Fantasy ; Children's stories, English","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass : and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","011941788","Monograph","Language material ; Text","Volume","GB8218986","","9780192816207","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Green, Roger Lancelyn, editor [person]","The World's classics","","England","Oxford","Oxford University Press","1982","","xxxiii, 278 pages, illustrations, 18 cm","823.8","012209.df.567","Fiction in English--1837-1900--Texts","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","009429966","Monograph","Language material ; Text","Volume","GB8936089","","9780723513636","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Chance, Tony James [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","Manchester","World International","1989","","173 pages, illustrations, 20 cm","823.8","YK.1990.a.1214","Children's stories in English--1837-1900--Texts","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","011941497","Monograph","Language material ; Text","Volume","GB7529397","","9780192811868","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Green, Roger Lancelyn, editor [person]","Oxford English novels","","England","London","Oxford University Press","1975","","xxxiii, 277 pages, illustrations, 21 cm","823.8","X.0908/46 (59)","Fiction in English ; Fiction in English--1837-1900--Texts","","English","Originally published: 1971",""
"Alice's adventures in Wonderland : and, Through the looking glass and what Alice found there","Through the looking glass ; Through the looking-glass","018524928","Monograph","Language material ; Text","Online resource","GBB7H9748","","9781407087351","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person]","","","England","London","Vintage","2007","","1 online resource (326 pages), illustrations","823.8","ELD.DS.191865","Fantasy ; Alice (Fictitious character : Carroll)--Fiction ; Alice, (Fictitious character from Carroll)","Fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice in Wonder land : Through the looking glass ; Through the looking-glass","015803002","Monograph","Language material ; Text","Volume","GBB216328","","9780956527752","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person]","Bibliolis classics","","England","London","Bibliolis","2010","Bibliolis classics edition","208 pages, 21 cm","823.8","H.2011/.10284","Alice, (Fictitious character from Carroll)--Fiction ; Fantasy fiction, English","Fiction","English","'Alice in Wonderland first published 1865. Through the looking glass first published 1872'--T.p. verso",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking glass","017611600","Monograph","Language material ; Still image ; Text","Volume","GBB5G2526","","9781554812417","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Kelly, Richard, 1937-, editor [person]","Broadview editions","","Canada","Peterborough, Ontariotario","Broadview","2015","","462 pages, black and white illustrations, 22 cm","823.8","H.2017/.7812","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","000617308","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Rountree, Harry, 1878-1950, illustrator [person]","","","England ; Scotland","Glasgow ; London","Collins","1928","","318 pages (8°)","","12810.a.38","","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","000617319","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Weisgard, Leonard, 1916-2000, illustrator [person]","","","United States of America","New York","Harper","1949","","159 pages, illustrations (4°)","","12815.bbb.16","","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","008992410","Monograph","Language material ; Text","Volume","GB5412588","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Peake, Mervyn, 1911-1968, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Allan Wingate","1954","","viii, 264 pages, illustrations, 19 cm","823.8","12837.e.10","","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","008992411","Monograph","Language material ; Text","Volume","GB5412589","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Stanley, Diana, 1909-1975, illustrator [person]","Children's illustrated classics","","England ; United States of America","London ; New York","E. P. Dutton ; J M Dent","1954","","x, 246 pages, illustrations, 22 cm","823.8","W.P.2008/22","","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","009017724","Monograph","Language material ; Text","Volume","GB6610089","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","","","England ; United Kingdom ; United States of America","London ; New York","Collier ; Collier-Macmillan","1966","","317 pages, illustrations, 18 cm","823.8","X.989/2098","","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","010287937","Monograph","Language material ; Text","Volume","GB5716342","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Watson, A. H., illustrator [person]","","","England","London","Collins","1957","","240 pages, 1 leaf of plates, illustrations (1 colour), 22 cm","823.8","12840.e.25","","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","010292407","Monograph","Language material ; Text","Volume","GB5803707","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","St. Martin's library","","England","London","Macmillan","1958","","285 pages, illustrations, 17 cm","823.8","W.P.4443/21 ; W.P.4443/62","","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","010713282","Monograph","Language material ; Text","Volume","GB8628096","","9780600311621","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Hamlyn classics","","England","Twickenham","Hamlyn","1986","","188 pages, illustrations, 22 cm","823.8","YC.1986.a.6485","Children's stories in English--1837-1900--Texts","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","011326870","Monograph","Language material ; Text","Volume","GB7522922","","9780361028004","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Thorne, Jenny, illustrator [person]","A Purnell de luxe classic","","England","Maidenhead","Purnell","1975","","224 pages, 7 leaves of plates, illustrations (some colour), 21 cm","823.8","X.990/7064","Children's stories, English ; Fiction in English--1837-1900--Texts","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","012701703","Monograph","Language material ; Text","Volume","GB9341352","","9781857159042","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Everyman's library children's classics","","England","London","David Campbell","1992","","326 pages, illustrations, 21 cm","823.8","Nov.1993/1273","English fiction--Children's stories","","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","016043928","Monograph","Language material ; Text","Volume","GBB223027","","9780141199689","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Penguin English library","","England","London","Penguin","2012","","volumes, 246 pages, illustrations, 20 cm","823.8","YK.2013.a.9527","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","016081563","Monograph","Language material ; Text","Volume","GBB244537","","9780099572923","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Vintage classics","","England","London","Vintage","2012","","348 pages, illustrations, 19 cm","823.8","YK.2013.a.6744","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","018510997","Monograph","Language material ; Text","Online resource","GBB7H2659","","9780141974637","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Penguin English library","","England ; United Kingdom","London","Penguin","2012","","1 online resource (256 pages)","823.8","ELD.DS.182978","Alice, (Fictitious character from Carroll)--Fiction ; FICTION / Fantasy / General","Fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","018576431","Monograph","Language material ; Text","Online resource","GBB7K7335","","9781448155057","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Vintage classics","","England ; United Kingdom","London","Vintage Digital","2012","","1 online resource (368 pages)","823.8","ELD.DS.211993","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction ; Picture books, activity books & early learning material","Children's fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Novels. Selections ; Through the looking glass","020226331","Monograph","Language material ; Still image ; Text","Online resource (ebook)","GBC196119","","9780760374016","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Chartwell classics","","United States of America","Edison","Chartwell","2021","","1 online resource, illustrations","823.8","","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Novels. Selections ; Through the looking-glass","017010963","Monograph","Language material ; Text","Volume","GBB506095","","9781847494078","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","Richmond, Surrey","Alma Classics","2015","150th anniversary edition","387 pages, black and white illustrations, 20 cm","823.8","YKL.2017.a.16497","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Novels. Selections ; Through the looking-glass","017471265","Monograph","Language material ; Still image ; Text","Volume","GBB5A4867","","9781509808762","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Macmillan","2015","","2 volumes, illustrations","823.8","","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","In slip case",""
"Alice's adventures in Wonderland : and, Through the looking glass","Novels. Selections ; Through the looking-glass","018172273","Monograph","Language material ; Still image ; Text","Volume","GBB705141","","9781784284268","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Arcturus","2017","","1 volume, illustrations, 20 cm","823.8","","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Novels. Selections ; Through the looking-glass","018863727","Monograph","Language material ; Still image ; Text","Volume","GBB886230","","9781788882170","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Arcturus","2018","","1 volume, illustrations, 20 cm","823.8","","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass","Through the looking glass ; Works. Selections","017372205","Monograph","Language material ; Still image ; Text","Volume","GBB567355","","9781435160736","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Barnes & Noble leatherbound children's classics","","United States of America","New York","Barnes & Noble","2015","","289 pages, colour illustrations, 21 cm","823.8","YKL.2016.a.6168","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"Alice's adventures in Wonderland : and, Through the looking glass, both with the illustrations of John Tenniel ; and, The hunting of the snark","Alice's adventures in Wonderland ; Hunting of the snark ; Through the looking-glass ; Works. Selections","008363245","Monograph","Language material ; Text","Volume","GB7412451","","9780370109275","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","","","England","London","Bodley Head","1974","","292 pages, illustrations, 22 cm","823.8","X.990/4188 ; fD75/41886","Fiction in English ; Fiction in English--1837-1900--Texts","","English","This collection originally published: London : Nonesuch Press, 1963",""
"Alice's adventures in Wonderland : and, Through the looking-glass : and what Alice found there","Alice's adventures in Wonderland ; Novels. Selections ; Through the looking-glass","009695885","Monograph","Language material ; Text","Volume","GB9826320","","9780192833747","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person] ; Green, Roger Lancelyn, editor [person]","Oxford world's classics","","England","Oxford","Oxford University Press","1998","","xxxiii, 278 pages, 20 cm","","","Fantasy","","English","",""
